"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN1040_c3_g1",0.43145574489259,-2.06556234518268,3.57289337885405,-0.578120342859258,0.563182873630123,NA
"TRINITY_DN1040_c3_g2",1.42758804856129,-0.682937887086922,1.73327466433305,-0.394015963620925,0.693569253381599,NA
"TRINITY_DN1040_c4_g1",0.291206166399906,-1.50576064523823,3.81441649211152,-0.394755173786672,0.693023579826599,NA
"TRINITY_DN10400_c0_g1",0.44118318325316,-0.565610340648033,3.59268329552731,-0.157433955103191,0.874902854807013,NA
"TRINITY_DN10401_c0_g1",0.581771651237537,0.340059754044303,3.23125633338507,0.105240723408674,0.916184797515391,NA
"TRINITY_DN10402_c0_g1",1.56961713636216,-0.415865045557809,1.80476574896869,-0.230426051577856,0.81776071951275,NA
"TRINITY_DN10403_c0_g1",0.426079699116448,-0.543615185978832,3.63877206606254,-0.149395228969939,0.881241776215668,NA
"TRINITY_DN10404_c0_g1",0.423665970375967,-0.496338294613343,3.36125952711252,-0.147664377180574,0.882607646266163,NA
"TRINITY_DN10405_c0_g1",1.16744707293766,0.394009504129737,2.30300476602007,0.171084971226804,0.864156952869114,NA
"TRINITY_DN10406_c0_g1",0.539559620357105,2.75905656485706,3.53048812371854,0.78149436230111,0.43451179124644,NA
"TRINITY_DN10408_c0_g1",0.301580876098763,-1.52237678933332,3.81337864421309,-0.399219938896856,0.689731152790457,NA
"TRINITY_DN10409_c0_g1",0.273108052047181,-1.45746470731771,3.81571440686783,-0.381963782377015,0.702488228964515,NA
"TRINITY_DN1041_c0_g1",0.98078460727976,2.69020044046586,2.23190512641627,1.20533816990038,0.228072780023393,NA
"TRINITY_DN1041_c0_g2",1.27213662074646,-1.39882309536444,1.99785402731263,-0.700162812818732,0.483825632354334,NA
"TRINITY_DN10410_c0_g1",1.52628888273085,-0.958232357543544,1.88002411318341,-0.509691525137402,0.61026759127038,NA
"TRINITY_DN10411_c0_g1",2.99403387679679,-0.573175960194618,1.2154084838773,-0.471591212171006,0.637218600473113,NA
"TRINITY_DN10412_c0_g1",0.422045730350962,2.39976083897953,3.54458300776586,0.677022045674164,0.498391967020222,NA
"TRINITY_DN10413_c0_g1",1.88089743132514,-0.804110648064705,1.70565933451721,-0.47143684075244,0.637328812652961,NA
"TRINITY_DN10414_c0_g1",1.55552684030566,0.1462357843721,1.76911030358169,0.0826606368613847,0.934121384947363,NA
"TRINITY_DN10415_c0_g1",0.291486754802483,0.179661937902732,3.81694647031143,0.0470695461149793,0.962457799104002,NA
"TRINITY_DN10418_c0_g1",1.00652759510127,1.71685349600721,2.13132344959353,0.805533996416467,0.420511596455942,NA
"TRINITY_DN10419_c0_g1",1.47014405096921,-3.82966110069809,2.04760402604552,-1.87031332815564,0.0614403197812724,NA
"TRINITY_DN10420_c0_g1",0.427624803976859,-0.540807477515174,3.63381987748287,-0.148826165233536,0.88169080369039,NA
"TRINITY_DN10421_c0_g1",1.00837038841718,-2.07919263080618,2.3490730680947,-0.88511194438604,0.376096257949587,NA
"TRINITY_DN10422_c0_g1",0.850406103132855,1.37266031721652,2.26701095402878,0.60549346476563,0.544851165677405,NA
"TRINITY_DN10423_c0_g1",0.861995353952938,0.392656217316099,2.38342112389503,0.164744792004869,0.869144859717146,NA
"TRINITY_DN10424_c0_g1",0.872084237591181,0.399387987175224,2.76245067599862,0.144577418393488,0.885044527393925,NA
"TRINITY_DN10425_c0_g1",0.280465868108509,0.195374675218228,3.81694647031143,0.0511861187307368,0.959177212993102,NA
"TRINITY_DN10427_c0_g1",0.432876144640622,-2.06981147032097,3.28558012124585,-0.629968344687977,0.528715295430792,NA
"TRINITY_DN1043_c0_g1",0.71249959997936,-1.49366164263305,3.02484549040927,-0.493797665820927,0.621449081802413,NA
"TRINITY_DN10430_c0_g1",0.431493786482826,1.12257600903585,3.29314598558394,0.340882552413418,0.733192000159068,NA
"TRINITY_DN10431_c0_g1",0.439078920633384,-2.08772863030438,3.55009759449262,-0.588076404869302,0.556481009757996,NA
"TRINITY_DN10432_c0_g1",0.85207070526057,2.43425801402446,2.34395999707,1.03852370222501,0.29902630631672,NA
"TRINITY_DN10433_c0_g1",0.273108052047181,-1.45746470731771,3.81571440686783,-0.381963782377015,0.702488228964515,NA
"TRINITY_DN10435_c0_g1",0.552163881310487,0.415468233309941,3.0463644656974,0.136381656885834,0.89151957386719,NA
"TRINITY_DN10436_c0_g1",0.447199200285526,-2.11060847692289,3.52668105230058,-0.598468771522751,0.549527190026389,NA
"TRINITY_DN10438_c0_g1",0.571762445774573,0.360843336743826,3.01257732019782,0.119778946194859,0.904658260355868,NA
"TRINITY_DN10439_c0_g1",0.716930912035161,-0.201567959411856,2.58371343471057,-0.0780148280780355,0.937816257841745,NA
"TRINITY_DN10440_c0_g1",0.452371314148145,-2.12599672253002,3.76807901517015,-0.564212351697199,0.57260962273523,NA
"TRINITY_DN10441_c0_g1",0.710484842678866,0.940792849456897,2.77276406296615,0.339297837137462,0.734385371831661,NA
"TRINITY_DN10442_c0_g1",0.887121019973617,-0.622570624147937,2.56864610904143,-0.242373062585982,0.808491105137011,NA
"TRINITY_DN10443_c0_g1",0.433108204351846,-0.520597813891317,3.33597741017599,-0.156055557301826,0.875989229216272,NA
"TRINITY_DN10444_c0_g1",1.14104561466353,1.97367021206882,2.0446173848025,0.965300513797337,0.33439431453372,NA
"TRINITY_DN10445_c0_g1",0.419553024198765,-2.03047046541969,3.60979595718197,-0.562488985389855,0.573782906094531,NA
"TRINITY_DN10446_c0_g1",1.82173438091072,2.84929925728388,1.75706047792197,1.62162844881337,0.104882927481588,NA
"TRINITY_DN10447_c0_g1",0.409662078070771,-1.99987284096263,3.77619058321405,-0.529600611222453,0.596388870486986,NA
"TRINITY_DN10448_c0_g1",0.861260187200255,-0.576480964975968,2.41299577622237,-0.238906744328607,0.811177895758686,NA
"TRINITY_DN10449_c0_g1",1.12597692653421,3.81532646245138,2.19856068504215,1.73537464233253,0.0826744685340591,NA
"TRINITY_DN1045_c0_g1",0.448448019310179,-0.567434048858126,3.57292421305096,-0.158815025178938,0.873814610675794,NA
"TRINITY_DN10450_c0_g1",0.574624840374869,1.70313968778335,2.93516214112269,0.580254039094379,0.561743316644124,NA
"TRINITY_DN10451_c0_g1",1.43663617553274,-0.819216543679197,1.85466372661603,-0.441706241364798,0.658701792650586,NA
"TRINITY_DN10452_c0_g1",0.301580876098763,-1.52237678933332,3.81337864421309,-0.399219938896856,0.689731152790457,NA
"TRINITY_DN10453_c0_g1",0.441031898739756,-0.564527184692824,3.59310630496704,-0.157113966795926,0.875155030376472,NA
"TRINITY_DN10454_c0_g1",0.872781500700463,0.395921394488857,2.55357111787066,0.155046159364068,0.876784927363605,NA
"TRINITY_DN10456_c0_g1",1.00504894551995,0.0294478399731113,2.40998158852733,0.0122191140850607,0.990250800129001,NA
"TRINITY_DN10457_c0_g1",0.582911058788597,0.389080389325635,3.22599751058001,0.120607777299767,0.904001708421938,NA
"TRINITY_DN10458_c0_g1",0.438068597314194,-2.08484536034699,3.5530820997951,-0.586770950343989,0.557357549343696,NA
"TRINITY_DN10459_c0_g1",1.97332284735703,0.771285903535932,1.79543019460116,0.429582785148194,0.66749916183922,NA
"TRINITY_DN1046_c0_g1",0.845372263143117,1.39697627050847,2.40405335117107,0.581092041833422,0.561178421907445,NA
"TRINITY_DN1046_c0_g2",1.45013120393404,-1.59489334732931,1.85073187227808,-0.861763592673284,0.388817623221788,NA
"TRINITY_DN1046_c0_g3",1.43367130202942,1.6141051583281,1.85108024108386,0.871980113289414,0.383219226595504,NA
"TRINITY_DN10460_c0_g1",0.862050934086296,0.412115217012451,2.56333395293795,0.160773127723022,0.872272090845235,NA
"TRINITY_DN10461_c0_g1",0.296736470415109,0.18160086044382,3.81694647031143,0.0475775235142353,0.962052945376549,NA
"TRINITY_DN10462_c0_g1",0.699602308423631,-2.76759361305841,2.99566505583931,-0.923866173777895,0.355555996582048,NA
"TRINITY_DN10463_c0_g1",0.867231467852799,0.416162418408782,2.55827017122487,0.162673365420795,0.870775618933194,NA
"TRINITY_DN10464_c0_g1",0.570632822156451,0.364941019194716,3.01399624434532,0.121082108141109,0.903626000535467,NA
"TRINITY_DN10465_c0_g1",2.9431771962914,-3.79317776991127,1.67332517390245,-2.2668503582391,0.0233993686210941,NA
"TRINITY_DN10468_c0_g1",0.847832467198794,-3.04388178914714,2.57101426778723,-1.18392255822325,0.236443719568605,NA
"TRINITY_DN1047_c0_g1",0.98083720854346,2.66422040846363,2.43346671925562,1.09482508529174,0.2735932742784,NA
"TRINITY_DN1047_c0_g2",0.987123479910636,0.014989374301583,2.25426455044365,0.00664934126681497,0.994694632358751,NA
"TRINITY_DN10470_c0_g1",0.437550293608649,2.44725580814198,3.72170881065296,0.657562408197276,0.510819356729519,NA
"TRINITY_DN10471_c0_g1",0.574150935587181,1.69290940461613,2.93580907500559,0.576641519037783,0.564181645658201,NA
"TRINITY_DN10472_c0_g1",1.99325346644875,-1.48592543446553,1.56684034268522,-0.948357911131507,0.34294727848331,NA
"TRINITY_DN10473_c0_g1",0.693256417745422,0.959280864162452,2.7931175963402,0.343444495648658,0.731264090160019,NA
"TRINITY_DN10474_c0_g1",2.54433025321023,0.416083789153132,1.35734842470536,0.306541623049697,0.759192293506516,NA
"TRINITY_DN10475_c0_g1",0.587506385820772,0.386745004802941,2.98344145654958,0.129630499017809,0.896858772108674,NA
"TRINITY_DN10477_c0_g1",1.27618063085133,-1.37423727515312,1.99265078978773,-0.68965283942176,0.490412530045922,NA
"TRINITY_DN10478_c0_g1",0.597351616849309,-1.15661225972119,3.21444892816446,-0.359816654602022,0.718984247665763,NA
"TRINITY_DN10479_c0_g1",0.96258051439098,0.881907858874353,2.45189684748968,0.359683915649745,0.719083521590672,NA
"TRINITY_DN1048_c0_g1",0.57221239645551,-1.09751133827763,3.00788756753824,-0.3648777800481,0.715202641443182,NA
"TRINITY_DN10480_c0_g1",0.985112891658354,0.876309174519021,2.2653385685276,0.386833644512835,0.698879367829176,NA
"TRINITY_DN10481_c0_g1",0.269779810178552,1.76208259853803,3.77598690347132,0.466654849072205,0.6407468381048,NA
"TRINITY_DN10482_c0_g1",0.570625991036208,0.357444499683654,3.25240224302054,0.109901688959509,0.91248734306365,NA
"TRINITY_DN10483_c0_g1",0.573348258740171,0.446572561733221,3.00584176800228,0.148568220219396,0.881894351243907,NA
"TRINITY_DN10484_c0_g1",0.422647760251099,2.40160296449479,3.54262964932928,0.677915334714562,0.497825376464891,NA
"TRINITY_DN10485_c0_g1",0.445281065746705,-2.10523883849493,3.5322172852768,-0.596010570264211,0.551168165325924,NA
"TRINITY_DN10486_c0_g1",0.854815253454499,0.403804052866994,2.25253897275594,0.179266178188672,0.857728702523743,NA
"TRINITY_DN10488_c0_g1",0.428544917579475,-0.518184525791453,3.63051207320695,-0.142730423516736,0.886503088215679,NA
"TRINITY_DN10489_c0_g1",0.273108052047181,-1.45746470731771,3.81571440686783,-0.381963782377015,0.702488228964515,NA
"TRINITY_DN10490_c0_g1",0.269779810178552,1.76208259853803,3.77598690347132,0.466654849072205,0.6407468381048,NA
"TRINITY_DN10492_c0_g1",0.866763000280602,2.45337988649386,2.5347056224201,0.967915115977613,0.333086764411286,NA
"TRINITY_DN10493_c0_g1",0.431491548700815,1.11888450221073,3.29316173892831,0.339759960461233,0.734037302916252,NA
"TRINITY_DN10494_c0_g1",3.00443074341005,-1.27960668729994,1.26687657373386,-1.01004842447167,0.312472090339167,NA
"TRINITY_DN10495_c0_g1",0.704211519889839,0.993198538141785,2.43098774323653,0.408557608282909,0.682864345768706,NA
"TRINITY_DN10496_c0_g1",2.54115541942705,0.0333939727314697,1.4254694947425,0.0234266484513596,0.981309948446131,NA
"TRINITY_DN10497_c0_g1",0.293887580309224,-1.51408937232975,3.81394903172402,-0.396987311507238,0.691376817395649,NA
"TRINITY_DN10498_c0_g1",0.43577965053206,1.14646840844267,3.56374932321721,0.321702876510878,0.747677798467992,NA
"TRINITY_DN10499_c0_g1",0.452371314148145,-2.12599672253002,3.76807901517015,-0.5642123516972,0.57260962273523,NA
